COD_ARO;MATERIA_PRIMA;MM;CAPACIDAD_BIDON;PESO;FECHA_INGRESO;PROVEEDOR;ESTADO
ME75800;EUCALIPTOL 99%;2608360;30;25;20/8/2026;PITRON;
ME75800;EUCALIPTOL 99%;2608360;30;25;20/8/2026;PITRON;
MB00500;BACDANOL;2608361;30;30;20/8/2026;PITRON;
MB00500;BACDANOL;2608361;30;30;20/8/2026;PITRON;
MB00500;BACDANOL;2608361;20;19;20/8/2026;PITRON;
MD20300;DIHIDROMIRCENOL;2608362;200;175;20/8/2026;PITRON;
MD20300;DIHIDROMIRCENOL;2608362;200;175;20/8/2026;PITRON;
MD20300;DIHIDROMIRCENOL;2608362;200;175;20/8/2026;PITRON;
MD20300;DIHIDROMIRCENOL;2608362;200;175;20/8/2026;PITRON;
ME75800;EUCALIPTOL 99%;2608363;30;25;20/8/2026;PITRON;
ME75800;EUCALIPTOL 99%;2608363;30;25;20/8/2026;PITRON;
MD83500;DIPROPILENGLICOL;2608364;215;215;20/8/2026;TIBEX;
MD83500;DIPROPILENGLICOL;2608364;215;215;20/8/2026;TIBEX;
MD83500;DIPROPILENGLICOL;2608364;215;215;20/8/2026;TIBEX;
MD83500;DIPROPILENGLICOL;2608364;215;215;20/8/2026;TIBEX;
MD83500;DIPROPILENGLICOL;2608364;215;215;20/8/2026;TIBEX;
MM27800;ANTRANILATO DE METILO;2608365;20;22;21/8/2026;CAFYPA;
MM27800;ANTRANILATO DE METILO;2608365;20;22;21/8/2026;CAFYPA;
MM27800;ANTRANILATO DE METILO;2608365;10;6;21/8/2026;CAFYPA;
MB01000;BALSAMO COPAIBA;2608366;1;1;21/8/2026;CAFYPA;
MM13703;MENTONA;2608367;20;10;21/8/2026;CAFYPA;
ME28400;BRASILATO DE ETILENO;2608368;20;20;21/8/2026;CAFYPA;
ME28400;BRASILATO DE ETILENO;2608368;20;20;21/8/2026;CAFYPA;
MH03200;HELIONAL;2608369;10;10;21/8/2026;CAFYPA;
MH03500;HELIOTROPEX;2608370;10;10;21/8/2026;CAFYPA;
MM43000;MAYOL;2608371;5;5;21/8/2026;CAFYPA;
MN17000;NEROLINA BROMELIA;2608372;15;15;21/8/2026;CAFYPA;s
MN17000;NEROLINA BROMELIA;2608372;25;25;21/8/2026;CAFYPA;s
MA14200;ALDEHIDO C-11 UNDECILENICO;2608373;20;16;21/8/2026;CAFYPA;
MA14200;ALDEHIDO C-11 UNDECILENICO;2608373;20;16;21/8/2026;CAFYPA;
MA14200;ALDEHIDO C-11 UNDECILENICO;2608373;10;8;21/8/2026;CAFYPA;
